label,clean_message
0,predict wat time finish buying
0,good stuff
0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
0,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,k k much cost
0,home
0,dear call tmorrow pls accomodate
0,first answer question
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr number number number sp tyrone
1,want number get laid tonight want real dogging locations sent direct number ur mob join uk largest dogging network bt txting gravel number nt ec number email
0,haf msn email
0,call meet
0,check rooms befor activities
1,rcv msgs chat svc free hardcore services text go number u get nothing u must age verify yr network try
0,got c lazy type forgot lect saw pouch like v nice
0,k text way
0,sir waiting mail
0,swt thought nver get tired little things number lovable persons coz somtimes little things occupy biggest part hearts gud ni number
0,know pls open back
0,yes see ya dot
0,whats staff name taking class us
1,freemsg replied text randy sexy female live local luv hear u netcollex ltd number p per msg reply stop end
0,ummma call check life begin qatar pls pray hard
0,k deleted contact
0,sindu got job birla soft
0,wine flowing nevering
0,yup thk cine better cos need number go number plaza mah
0,ok ur typical reply
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one
0,aaooooright work
0,leaving house
0,hello love get interview today happy good boy think missing
1,customer service annoncement new years delivery waiting please call number arrange delivery
1,winner u specially selected number receive number cash number holiday flights inc speak live operator number claim number
0,keep safe need miss already envy everyone see real life
0,new car house parents new job hand
0,love excited day spend make happy
1,pls stop bootydelious number f inviting friend reply yes number number see url stop send stop frnd number
1,bangbabes ur order way u receive service msg number download ur content u goto wap bangb tv ur mobile internet service menu
0,place ur points e cultures module already
1,urgent trying contact last weekends draw shows number prize guaranteed call number claim code number valid number hrs
0,hi frnd best way avoid missunderstding wit beloved one
0,great escape fancy bridge needs lager see tomo
0,yes completely form clark also utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard ya go number free abt muz call u discuss liao
0,time coming later
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
0,well gonna finish bath good fine night
0,let know got money carlos make call
0,u still going mall
0,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth
0,text doesnt reply let know log
0,hi spoke maneesha v like know satisfied experience reply toll free yes
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr number weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guys close
0,going nothing great bye
0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
0,haha awesome minute
1,please call customer service representative freephone number number number pm guaranteed number cash number prize
0,got xmas radio times get
0,jus reached home go bathe first sis using net tell u finishes k
1,unique enough find number th august url
0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
0,hi finally completed course
0,stop however suggest stays someone able give ors every stool
0,hope settled new school year wishin gr number day
0,gud mrng dear hav nice day
0,u got persons story
0,hamster dead hey tmr meet number pm orchard mrt
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
0,found enc lt gt
0,sent lt gt bucks
0,hello darlin ive finished college txt u finish u love kate xxx
0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
0,goodmorning sleeping ga
0,u call alter number ok
0,say like dat dun buy ericsson oso cannot oredi lar
0,aight yo dats straight dogg
0,please give us connection today lt decimal gt refund bill
0,shoot big loads get ready
0,bruv hope great break rewarding semester
0,home always chat
0,k k good study well
0,yup noe leh
0,sounds great home
0,finally match heading towards draw prediction
0,tired slept well past nights
0,easy ah sen got selected means good
0,take exam march number
0,yeah think use gt atm register sure anyway help let know sure ready
0,ok prob take ur time
0,os called ubandu run without installing hard disk use os copy important files system give repair shop
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,number new mobiles number must go txt nokia number collect today number url number optout number number gbp mtmsg number
0,would really appreciate call need someone talk
1,u meet ur dream partner soon ur career number flyng start number find free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,dear good morning
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,dear going rubber place
0,sorry battery died yeah
0,yes tv always available work place
1,text meet someone sexy today u find date even flirt u join number number p reply name age eg sam number number msg email pence
0,printed oh lt gt come upstairs
0,ill little closer like bus stop street
0,wil reach
0,new theory argument wins situation loses person dont argue ur friends kick amp say always correct
1,u number secret admirer looking number make contact u find r reveal thinks ur special call number
0,tomarrow final hearing laptop case cant
0,pleassssssseeeeee tel v avent done sportsx
0,okay shining meant signing sounds better
0,although told u dat baig face watches really like e watch u gave cos fr u thanx number everything dat u done today touched
0,u remember old commercial
0,late said website dont slippers
0,asked call ok
0,kallis wont bat number nd innings
0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
1,congratulations ur awarded number cd vouchers number gift guaranteed free entry number wkly draw txt music number tncs url
0,ranjith cal drpd deeraj deepak number min hold
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
0,
0,ups number days also shipping company takes number wks way usps takes week gets lag may bribe nipost get stuff
0,back lemme know ready
0,necessarily expect done get back though headin
0,mmm yummy babe nice jolt suzy
0,lover need
1,tried contact reply offer video handset number anytime networks mins unlimited text camcorder reply call number
0,parked next mini coming today think
0,yup
0,anyway going shopping cos sis done yet dun disturb u liao
0,luton number ring ur around h
1,hey really horny want chat see naked text hot number text charged number pm unsubscribe text stop number
0,dint come us
0,wana plan trip sometme
0,sure yet still trying get hold
1,ur ringtone service changed number free credits go club number mobiles com choose content stop txt club stop number number p wk club number po box number mk number wt
0,evo download flash jealous
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
0,come mu sorting narcotics situation
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
1,hmv bonus special number pounds genuine hmv vouchers answer number easy questions play send hmv number info url
0,usf guess might well take number car
0,objection bf coming
0,thanx
0,tell rob mack gf theater
0,awesome see bit
0,sent type food like
0,done handed celebrations full swing yet
0,got called tool
0,wen u miss someone
0,ok asked money far
0,okie
0,yeah think usual guy still passed last night get ahold anybody let know throw
0,k might come tonight class lets early
0,ok
0,hi baby im cruisin girl friend r u number give call hour home thats alright fone fone love jenny xxx
0,life means lot love life love people life world calls friends call world ge
0,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense
0,hey told name gautham ah
0,haf u found feel stupid da v cam working
0,oops number got bit
0,much buzy
0,accidentally deleted message resend please
1,mobile customer may claim free camera phone upgrade pay go sim card loyalty call number offer ends number thfeb c apply
0,unless situation go gurl would appropriate
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pls send message
0,need coffee run tomo believe time week already
0,awesome remember last time got somebody high first time diesel v
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
0,oh way food fridge want go meal tonight
0,womdarfull actor
1,sms ac blind date number u rodds number number aberdeen united kingdom check url sms ac w icmb number cktz number r number number blind dates send hide
0,yup remb think book
0,jos ask u wana meet
0,lol yes friendship hanging thread cause u buy stuff
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap number
0,garage keys bookshelf
0,today accept day u accept brother sister lover dear number best number clos number lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
1,think ur smart win number week weekly quiz text play number cs winnersclub po box number number uz number gbp number number week
0,says give call friend got money definitely buying end week
0,hi way u number day normal way real ur unique hope know u number rest mylife hope u find wot lost
0,made day great day
0,k k advance happy pongal
0,hmmm guess go number kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friends afraid
1,december mobile number mths entitled update latest colour camera mobile free call mobile update co free number
0,coffee cake guess
0,merry christmas babe love ya kisses
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l number cos number buses hav gon past cos full im still waitin number pete x
0,would great guild could meet bristol road somewhere get touch weekend plans take flight good week
0,problem
0,hi da todays class
0,say good sign well know track record reading women
0,cool text parked
0,reading text sent meant joke read light
0,k k apo k good movie
0,maybe could get book tomo return immediately something
1,call germany number pence per minute call fixed line via access number prepayment direct access
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
1,valentines day special win number quiz take partner trip lifetime send go number number p msg rcvd custcare number
0,ta daaaaa home babe still
0,cool come havent wined dined
0,sleeping surfing
0,u calling right call hand phone
0,ok great thanx lot
0,take post come must number texts happy reading one wiv hello caroline end favourite bless
0,u hiding stranger
0,interested like
0,sister cleared two round birla soft yesterday
0,gudnite tc practice going
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,one small prestige problem
1,fancy shag interested sextextuk com txt xxuk suzy number txts cost number number per msg tncs website x
0,checking really miss seeing jeremiah great month
0,nah help never iphone
0,car hour half going apeshit
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed
0,lt gt ish minutes number minutes ago wtf
0,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
1,ur cash balance currently number pounds maximize ur cash send cash number number p msg cc number hg suite number number lands row w number j number hl
0,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
0,hello got st andrews boy long way cold keep posted
0,ha ha cool cool chikku chikku db
0,oh ok prob
0,check audrey status right
0,busy trying finish new year looking forward finally meeting
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always
0,well know z take care worries
1,update xmas offer latest motorola sonyericsson nokia free bluetooth double mins number txt orange call mobileupd number number call number optout f number q
1,discount code rp number stop messages reply stop url customer services number
0,wat uniform get
0,cool text ready
0,hello boytoy geeee miss already woke wish bed cuddling love
0,spoil bed well
0,going bath msg next lt gt min
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
1,thanks ringtone order reference number charged gbp number per week unsubscribe anytime calling customer services number
0,say happen
0,could seen recognise face
0,well lot things happening lindsay new years sighs bars ptbo blue heron something going
0,keep payasam rinu brings
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake
0,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin
0,yeah sure give couple minutes track wallet
0,hey leave big deal take care
0,hey late ah meet number
1,double mins txts number months free bluetooth orange available sony nokia motorola phones call mobileupd number number call number optout n number dx
0,took mr owl number licks
0,customer place call
0,mm time dont like fun
1,number mths half price orange line rental latest camera phones number free phone number mths call mobilesdirect free number update number stoptxt
0,yup lunch buffet u eat already
0,huh late fr dinner
0,hey sat going intro pilates kickboxing
0,morning ok
0,yes think office lap room think thats last days didnt shut
0,pick bout number number ish time going
0,performance award calculated every two month current one month period
0,actually sleeping still might u call back text gr number rock sis send u text wen wake
0,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated
0,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
0,hmmm k want change field quickly da wanna get system administrator network administrator
1,free ringtone text first number poly text get number true tone help number number st free tones number x number pw e nd txt stop
0,dear chechi talk
0,hair cream shipped
0,none happening til get though
0,yep great loxahatchee xmas tree burning lt gt starts hour
0,haha get used driving usf man know lot stoners
0,well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always
0,hello good week fancy drink something later
0,headin towards busetop
0,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
0,come room point iron plan weekend
0,cos want thing
0,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendy
1,number dating service cal l number box number sk number ch
0,whatsup dont u want sleep
0,alright new goal
1,free entry number weekly competition text word win number number c url
0,alright head minutes text meet
1,send logo number ur lover number names joined heart txt love name number name number mobno eg love adam eve number number yahoo pobox number w number wq txtno number ads number p
0,yes last week taking live call
1,someone contacted dating service entered phone fancy find call landline number pobox number n number tf number p
0,siva hostel aha
1,urgent mobile number awarded number prize guaranteed call number land line claim number valid number hrs
0,send ur friends receive something ur voice speaking expression number childish number naughty number sentiment number rowdy number ful attitude number romantic number shy number attractive number funny lt gt irritating lt gt lovable reply
0,ok ok guess
0,aathi dear
0,pain urination thing else
0,number esplanade mind giving lift cos got car today
0,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob
0,home watching tv lor
0,usually take fifteen fucking minutes respond yes question
1,congrats nokia number video camera phone call number calls cost number ppm ave call number mins vary mobiles number close number post bcm number ldn wc number n number xx
0,booked ticket pongal
0,available like right around hillsborough amp lt gt th
0,message sent askin lt gt dollars shoul pay lt gt lt gt
0,ask g iouri told story like ten times already
0,long applebees fucking take
0,hi hope u get txt journey hasnt gd number mins late think
0,like love arrange
0,yes really great bhaji told kallis best cricketer sachin world tough get
0,supposed wake gt
0,oic saw tot din c found group liao
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous
0,sorry battery died come getting gram place
0,well done blimey exercise yeah kinda remember wot hmm
0,wont get concentration dear know mind everything
0,lol made plans new years
0,number min later k
0,hanks lotsly
0,thanks hope good day today
0,k k detail want transfer acc enough
0,ok tell stay yeah tough optimistic things improve month
1,loan purpose number number number homeowners tenants welcome previously refused still help call free number text back help
0,si si think ill go make oreo truffles
0,look amy ure beautiful intelligent woman like u lot know u like like worry
0,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl
0,number number call cost guess isnt bad miss ya need ya want ya love ya
0,going thru different feeling wavering decisions coping individual time heal everything believe
0,u go phone gonna die stay
0,great never better day gives even reasons thank god
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call number offer ends number th july c apply opt available
0,sorry call later ok bye
0,ok way railway
0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night
0,put stuff roads keep getting slippery
0,going ride bike
0,yup need jus wait number e rain number stop
0,many company tell language
1,okmail dear dave final notice collect number tenerife holiday number cash award call number landline tcs sae box number cw number wx number ppm
0,long since screamed princess
0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust number ja person sending account details cos
1,want number get laid tonight want real dogging locations sent direct number ur mob join uk largest dogging network txting moan number nyt ec number email
0,nice line said broken heart plz cum number times infront wise trust u good number
0,ok gonna head usf like fifteen minutes
0,love aathi love u lot
0,tension ah machi problem
0,k pick another number th done
0,guys getting back g said thinking staying mcr
0,almost see u sec
0,yo carlos friends already asking working weekend
0,watching tv lor
0,thank baby cant wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win really number side long time
1,free message activate number free text messages replying message word free terms conditions visit url
0,dear reached railway happen
0,depends quality want type sent boye faded glory number want ralphs maybe number
0,think fixed send test message
0,sorry man account dry would want could trade back half could buy shit credit card
1,congrats number year special cinema pass number call number c suprman v matrix number starwars number etc number free bx number ip number number number pm dont miss
0,sorry meeting call later
0,class lt gt reunion
0,free call
0,got meh
0,nope think go monday sorry replied late
0,told accenture confirm true
0,kate jackson rec center number ish right
0,dear reache room
0,fighting world easy u either win lose bt fightng number close u dificult u lose u lose u win u still lose
0,come
0,check nuerologist
0,lolnice went fish water
1,number congratulations week competition draw u number prize claim call number b number cs stop sms number number number ppm
0,waiting e car dat bored wat cos wait outside got nothing number home stuff watch tv wat
0,maybe westshore hyde park village place near house
0,know anthony bringing money school fees pay rent stuff like thats need help friend need
0,significance
0,opinion number number jada number kusruthi number lovable number silent number spl character number matured number stylish number simple pls reply
0,number latest g still scrounge ammo want give new ak try
0,prabha soryda realy frm heart sory
0,lol ok forgiven
0,jst change tat
1,guaranteed latest nokia phone number gb ipod mp number player number prize txt word collect number ibhltd ldnw number h number p mtmsgrcvd number
0,competition
1,boltblue tones number p reply poly mono eg poly number cha cha slide number yeah number slow jamz number toxic number come stop number tones txt
1,credits topped url renewal pin tgxxrz
0,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri
0,usually person unconscious children adults may behave abnormally call
0,ebay might less elsewhere
0,shall come get pickle
0,gonna go get tacos
0,rude campus
1,urgent mobile awarded number number bonus caller prize number number number number nd attempt contact call number number number box number qu
0,hi b ard number christmas enjoy n merry x mas
1,today offer claim ur number worth discount vouchers text yes number savamob member offers mobile cs number number number sub number unsub reply x
0,yes pretty lady like single
1,recieve tone within next number hrs terms conditions please see channel u teletext pg number
0,jay says double faggot
1,private number account statement number shows number un redeemed points call number identifier code number expires number number number
0,today sunday sunday holiday work
0,late
0,called hoping l number r malaria know miss guys miss bani big pls give love especially great day
0,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea
0,probably gonna see later tonight lt
0,maybe fat fingers press buttons know
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
0,tirupur da started office call
1,url email max number month csc web age number stop txt stop
0,famous quote develop ability listen anything unconditionally without losing temper self confidence means married
0,going college pa else ill come self pa
0,number oclock mine bash flat plan
0,girl stay bed girl need recovery time id rather pass fun cooped bed
0,special
0,know need get hotel got invitation apologise cali sweet come english bloke weddin
0,sorry took long omw
0,wait lt gt min
0,ok give number minutes think see btw alibi cutting hair whole time
0,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
0,hurry weed deficient like three days
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,ok every night take warm bath drink cup milk see work magic still need loose weight know
0,look frying pan case cheap book perhaps silly frying pan likely book
0,well uv causes mutations sunscreen like essential thesedays
0,lunch online
0,know friend already told
0,hi princess thank pics pretty
0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
0,hi msg office
0,thanx number e brownie v nice
0,geeeee love much barely stand
1,gent trying contact last weekends draw shows number prize guaranteed call number claim code k number valid number hrs number ppm
0,fuck babe miss already know let send money towards net need want crave
0,ill call u number mrw ninish address icky american freek wont stop callin number bad jen k eh
0,oooh bed ridden ey thinking
0,anyways go gym whatever love smiles hope ok good day babe miss much already
0,love daddy make scream pleasure going slap ass dick
0,wot u wanna missy
0,yar lor wait number mum number finish sch lunch lor whole morning stay home clean room room quite clean hee
0,know lab goggles went
0,open door
0,waiting call
0,nope waiting sch number daddy
1,number number cash number number prize claim call number
0,tired arguing week week want
0,wait number sch finish ard number
1,mobile number number claim calls us back ring claims hot line number
0,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite
0,huh early dinner outside izzit
0,ok anyway need change said
1,tried contact reply offer number mins number textand new video phone call number reply free delivery tomorrow
0,ex wife able kids want kids one day
0,scotland hope showing jjc tendencies take care live dream
0,tell u headache want use number hour sick time
0,dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den
0,pete please ring meive hardly gotany credit
0,ya srsly better yi tho
0,meeting call later
1,ur chance win number wkly shopping spree txt shop number c url custcare number number x number p wk
1,specially selected receive number pound award call number lines close cost number ppm number cs apply ag promo
1,private number account statement number shows number un redeemed points call number identifier code number expires number number number
0,still grand prix
0,met stranger choose friend long world stands friendship never ends lets friends forever gud nitz
0,great
0,gud mrng dear nice day
1,important customer service announcement call freephone number
0,exhausted train morning much wine pie sleep well
0,going buy mum present ar
0,mind blastin tsunamis occur rajnikant stopped swimming indian ocean
0,u sending home first ok lor ready yet
0,speaking cash yet
0,happy come noon
0,meet lunch la
0,take care n get well soon
1,email number morow number number soiree speciale zouk nichols paris free roses number ladies info number number
0,meant say cant wait see u getting bored bridgwater banter
0,neva mind ok
0,fine imma get drink somethin want come find
1,number days kick euro number u kept date latest news results daily removed send get txt stop number
0,valentine game send dis msg ur friends number answers r someone really loves u ques colour suits best rply
0,many dependents
0,thanx number today cer nice number catch ave number find time often oh well take care c u soon c
0,called said choose future
0,happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles number st
0,like v shock leh cos telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
0,family happiness
0,come n pick come immediately aft ur lesson
0,let snow let snow kind weather brings ppl together friendships grow
0,dear got lt gt dollars hi hi
0,good words words may leave u dismay many times
0,make sure alex knows birthday fifteen minutes far concerned
0,sorry got things may pub later
0,nah straight bring bud drinks something actually little useful straight cash
0,haha good hear officially paid market number th
0,many licks take get center tootsie pop
0,yup thk r e teacher said make face look longer darren ask number cut short
1,new textbuddy chat number horny guys ur area number number p free number receive search postcode gaytextbuddy com txt one name number
1,todays vodafone numbers ending number selected receive number award number matches call number receive number award
0,please dont say like hi hi hi
0,thank u
0,oh forwarded message thought send
0,got seventeen pounds seven hundred ml hope ok
1,dear voucher holder number claim weeks offer pc go url ts cs apply number stop texts txt stop number
0,n funny
0,sweetheart hope kind day one loads reasons smile biola
0,login dat time dad fetching home
0,shower baby
0,askd u question hours answer
0,well imma definitely need restock thanksgiving let know
0,said kiss kiss sound effects gorgeous man kind person needs smile brighten day
0,probably gonna swing wee bit
0,ya nice ready thursday
0,allo braved buses taken trains triumphed mean b ham jolly good rest week
0,watching cartoon listening music amp eve go temple amp church u
0,mind ask happened dont say uncomfortable
1,private number account statement shows number un redeemed points call number identifier code number expires number number number
0,prob send email
1,number number cash number number prize claim call number c rstm sw number ss number ppm
0,thats cool sometimes slow gentle sonetimes rough hard
0,gonna say sorry would normal starting panic time sorry seeing tuesday
0,wait know wesleys town bet hella drugs
0,fine miss much
0,tell drug dealer getting impatient
0,sun cant come earth send luv rays cloud cant come river send luv rain cant come meet u send care msg u gud evng
0,doesnt make sense take unless free need know wikipedia com
1,number number premium phone services call number
0,sea lays rock rock envelope envelope paper paper number words
0,mum repent
0,sorry going home first daddy come fetch later
0,leave de start prepare next
0,yes baby study positions kama sutra
0,en chikku nange bakra msg kalstiya tea coffee
0,carlos minute still need buy
0,pay lt decimal gt lakhs
0,good evening ttyl
0,u receive msg
0,ho ho big belly laugh see ya tomo
1,sms ac sun number posts hello seem cool
1,get ur number st ringtone free reply msg tone gr number top number tones phone every week number number per wk number opt send stop number
0,ditto worry saying anything anymore like said last night whatever want peace
0,got lt gt way could pick
0,dont knw pa drink milk
0,maybe say hi find got card great escape wetherspoons
0,piggy r u awake bet u still sleeping going number lunch
0,cause freaky lol
0,missed call cause yelling scrappy miss u wait u come home lonely today
0,hex place talk explain
0,log number wat sdryb number
0,xy going number e lunch
1,hi sue number years old work lapdancer love sex text live bedroom text sue number textoperator g number da number ppmsg number
0,wanted ask wait number finish lect cos lect finishes hour anyway
0,finished work yet
0,every king crying baby every great building map imprtant u r today u wil reach tomorw gud ni number
